Type,Layer,Class1,Class2,ActivationPercentage
res,13,empathetic_dialogue,mmlu,22.22900390625
res,13,empathetic_dialogue,programming,21.099853515625
res,13,math,math,34.857177734375
res,13,math,mmlu,28.79638671875
res,13,math,programming,30.389404296875
res,13,mmlu,mmlu,50.927734375
res,13,mmlu,programming,39.093017578125
res,13,programming,programming,50.115966796875
res,14,empathetic_dialogue,empathetic_dialogue,26.69677734375
res,14,empathetic_dialogue,math,16.61376953125
res,14,empathetic_dialogue,mmlu,23.779296875
res,14,empathetic_dialogue,programming,23.126220703125
res,14,math,math,36.651611328125
res,14,math,mmlu,30.242919921875
res,14,math,programming,32.84912109375
res,14,mmlu,mmlu,51.5625
res,14,mmlu,programming,41.61376953125
res,14,programming,programming,53.9794921875
res,15,empathetic_dialogue,empathetic_dialogue,25.8544921875
res,15,empathetic_dialogue,math,16.046142578125
res,15,empathetic_dialogue,mmlu,22.991943359375
res,15,empathetic_dialogue,programming,21.93603515625
res,15,math,math,35.491943359375
res,15,math,mmlu,29.13818359375
res,15,math,programming,31.256103515625
res,15,mmlu,mmlu,49.9755859375
res,15,mmlu,programming,39.544677734375
res,15,programming,programming,50.68359375
res,16,empathetic_dialogue,empathetic_dialogue,32.03125
res,16,empathetic_dialogue,math,19.085693359375
res,16,empathetic_dialogue,mmlu,27.789306640625
res,16,empathetic_dialogue,programming,26.470947265625
res,16,math,math,37.628173828125
res,16,math,mmlu,31.817626953125
res,16,math,programming,33.184814453125
res,16,mmlu,mmlu,55.615234375
res,16,mmlu,programming,42.767333984375
res,16,programming,programming,53.253173828125
res,17,empathetic_dialogue,empathetic_dialogue,35.0341796875
res,17,empathetic_dialogue,math,21.93603515625
res,17,empathetic_dialogue,mmlu,31.109619140625
res,17,empathetic_dialogue,programming,29.45556640625
res,17,math,math,40.2587890625
res,17,math,mmlu,35.0341796875
res,17,math,programming,36.09619140625
res,17,mmlu,mmlu,59.46044921875
res,17,mmlu,programming,46.6064453125
res,17,programming,programming,56.396484375
res,18,empathetic_dialogue,empathetic_dialogue,37.530517578125
res,18,empathetic_dialogue,math,23.260498046875
res,18,empathetic_dialogue,mmlu,33.660888671875
res,18,empathetic_dialogue,programming,31.8603515625
res,18,math,math,41.0888671875
res,18,math,mmlu,36.273193359375
res,18,math,programming,36.651611328125
res,18,mmlu,mmlu,61.199951171875
res,18,mmlu,programming,48.699951171875
res,18,programming,programming,58.233642578125
res,19,empathetic_dialogue,empathetic_dialogue,39.09912109375
res,19,empathetic_dialogue,math,24.86572265625
res,19,empathetic_dialogue,mmlu,35.235595703125
